segment	mean_coverage	median_coverage	0x	1-25x	25-100x	100-1000x	1000x+	sample_id	total_coverage
ha	1199.7065155807363	868.0	0.0	0.0	36.0	1063.0	666.0	c1-replicate-1	1765.0
mp	38118.65335929893	38179.0	0.0	0.0	0.0	0.0	1027.0	c1-replicate-1	1027.0
na	1729.0566166439291	1773.0	0.0	0.0	4.0	171.0	1291.0	c1-replicate-1	1466.0
np	7101.955271565495	7531.0	0.0	0.0	0.0	21.0	1544.0	c1-replicate-1	1565.0
ns	47186.96404494382	52054.5	0.0	0.0	0.0	0.0	890.0	c1-replicate-1	890.0
pa	2811.137931034483	2645.0	0.0	0.0	0.0	13.0	2220.0	c1-replicate-1	2233.0
pb1	546.6689448953439	437.0	0.0	0.0	0.0	2060.0	281.0	c1-replicate-1	2341.0
pb2	1431.474156343443	1318.0	0.0	0.0	0.0	464.0	1877.0	c1-replicate-1	2341.0
ha	613.5223796033995	464.0	0.0	1.0	45.0	1378.0	341.0	c1-replicate-2	1765.0
mp	23211.249269717624	23029.0	0.0	0.0	0.0	0.0	1027.0	c1-replicate-2	1027.0
na	1033.7060027285129	1029.5	0.0	0.0	6.0	667.0	793.0	c1-replicate-2	1466.0
np	3749.5130990415337	4004.0	0.0	0.0	0.0	29.0	1536.0	c1-replicate-2	1565.0
ns	30098.34606741573	32912.5	0.0	0.0	0.0	0.0	890.0	c1-replicate-2	890.0
pa	1181.614420062696	1117.0	0.0	0.0	0.0	1015.0	1218.0	c1-replicate-2	2233.0
pb1	242.96539940196496	130.0	0.0	0.0	472.0	1857.0	12.0	c1-replicate-2	2341.0
pb2	575.5202904741564	483.0	0.0	0.0	1.0	2041.0	299.0	c1-replicate-2	2341.0
ha	29.16940509915014	31.0	0.0	762.0	1003.0	0.0	0.0	c10-replicate-1	1765.0
mp	1535.251217137293	1545.0	0.0	0.0	1.0	220.0	806.0	c10-replicate-1	1027.0
na	0.0	0.0	1466.0	0.0	0.0	0.0	0.0	c10-replicate-1	1466.0
np	116.14376996805112	118.0	0.0	29.0	101.0	1435.0	0.0	c10-replicate-1	1565.0
ns	1171.4797752808988	1256.0	0.0	0.0	5.0	159.0	726.0	c10-replicate-1	890.0
pa	7.524406627854904	7.0	10.0	2223.0	0.0	0.0	0.0	c10-replicate-1	2233.0
pb1	0.3613840239214011	0.0	1740.0	601.0	0.0	0.0	0.0	c10-replicate-1	2341.0
pb2	1.1473729175565996	0.0	1278.0	1063.0	0.0	0.0	0.0	c10-replicate-1	2341.0
ha	6.875354107648725	7.0	36.0	1729.0	0.0	0.0	0.0	c10-replicate-2	1765.0
mp	277.9415774099318	280.0	0.0	1.0	64.0	962.0	0.0	c10-replicate-2	1027.0
na	3.180081855388813	2.0	178.0	1288.0	0.0	0.0	0.0	c10-replicate-2	1466.0
np	23.014696485623	23.0	0.0	961.0	604.0	0.0	0.0	c10-replicate-2	1565.0
ns	559.6370786516854	587.0	0.0	5.0	18.0	867.0	0.0	c10-replicate-2	890.0
pa	1.2413793103448276	0.0	1117.0	1116.0	0.0	0.0	0.0	c10-replicate-2	2233.0
pb1	0.9346433148227252	0.0	1958.0	383.0	0.0	0.0	0.0	c10-replicate-2	2341.0
pb2	0.1742844938060657	0.0	2053.0	288.0	0.0	0.0	0.0	c10-replicate-2	2341.0
ha	1185.6798866855524	939.0	0.0	0.0	29.0	941.0	795.0	c11-replicate-1	1765.0
mp	31364.30963972736	32426.0	0.0	0.0	0.0	0.0	1027.0	c11-replicate-1	1027.0
na	1302.8396998635744	1356.5	0.0	0.0	4.0	253.0	1209.0	c11-replicate-1	1466.0
np	6677.540575079872	7006.0	0.0	0.0	0.0	21.0	1544.0	c11-replicate-1	1565.0
ns	49078.73146067416	53080.0	0.0	0.0	0.0	0.0	890.0	c11-replicate-1	890.0
pa	823.5199283475146	578.0	0.0	0.0	1.0	1533.0	699.0	c11-replicate-1	2233.0
pb1	181.4720205040581	172.0	0.0	0.0	57.0	2284.0	0.0	c11-replicate-1	2341.0
pb2	656.2328064929517	695.0	0.0	0.0	39.0	2204.0	98.0	c11-replicate-1	2341.0
ha	764.7546742209631	736.0	0.0	0.0	49.0	1320.0	396.0	c11-replicate-2	1765.0
mp	23676.498539435248	22710.0	0.0	0.0	0.0	0.0	1027.0	c11-replicate-2	1027.0
na	164.9836289222374	164.0	0.0	47.0	74.0	1345.0	0.0	c11-replicate-2	1466.0
np	2699.770607028754	2754.0	0.0	0.0	1.0	51.0	1513.0	c11-replicate-2	1565.0
ns	26182.703370786516	29335.0	0.0	0.0	0.0	0.0	890.0	c11-replicate-2	890.0
pa	954.8092252575012	678.0	0.0	0.0	0.0	1526.0	707.0	c11-replicate-2	2233.0
