segment	mean_coverage	median_coverage	0x	1-25x	25-100x	100-1000x	1000x+	sample_id	total_coverage
ha	0.0	0.0	1765.0	0.0	0.0	0.0	0.0	h3_re_nc_7-replicate-1	1765.0
mp	0.0	0.0	1027.0	0.0	0.0	0.0	0.0	h3_re_nc_7-replicate-1	1027.0
na	0.0	0.0	1466.0	0.0	0.0	0.0	0.0	h3_re_nc_7-replicate-1	1466.0
np	0.0	0.0	1565.0	0.0	0.0	0.0	0.0	h3_re_nc_7-replicate-1	1565.0
ns	0.0	0.0	890.0	0.0	0.0	0.0	0.0	h3_re_nc_7-replicate-1	890.0
pa	0.0783699059561128	0.0	2058.0	175.0	0.0	0.0	0.0	h3_re_nc_7-replicate-1	2233.0
pb1	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_re_nc_7-replicate-1	2341.0
pb2	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_re_nc_7-replicate-1	2341.0
ha	0.0	0.0	1765.0	0.0	0.0	0.0	0.0	h3_rt_pcr_nc_6-replicate-1	1765.0
mp	0.0	0.0	1027.0	0.0	0.0	0.0	0.0	h3_rt_pcr_nc_6-replicate-1	1027.0
na	0.0	0.0	1466.0	0.0	0.0	0.0	0.0	h3_rt_pcr_nc_6-replicate-1	1466.0
np	0.0	0.0	1565.0	0.0	0.0	0.0	0.0	h3_rt_pcr_nc_6-replicate-1	1565.0
ns	0.0	0.0	890.0	0.0	0.0	0.0	0.0	h3_rt_pcr_nc_6-replicate-1	890.0
pa	0.0	0.0	2233.0	0.0	0.0	0.0	0.0	h3_rt_pcr_nc_6-replicate-1	2233.0
pb1	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_rt_pcr_nc_6-replicate-1	2341.0
pb2	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_rt_pcr_nc_6-replicate-1	2341.0
ha	0.0	0.0	1765.0	0.0	0.0	0.0	0.0	h3_rt_pcr_nc_8-replicate-1	1765.0
mp	0.1655306718597858	0.0	918.0	109.0	0.0	0.0	0.0	h3_rt_pcr_nc_8-replicate-1	1027.0
na	0.0	0.0	1466.0	0.0	0.0	0.0	0.0	h3_rt_pcr_nc_8-replicate-1	1466.0
np	0.0	0.0	1565.0	0.0	0.0	0.0	0.0	h3_rt_pcr_nc_8-replicate-1	1565.0
ns	0.0	0.0	890.0	0.0	0.0	0.0	0.0	h3_rt_pcr_nc_8-replicate-1	890.0
pa	0.0	0.0	2233.0	0.0	0.0	0.0	0.0	h3_rt_pcr_nc_8-replicate-1	2233.0
