SequencingId	SampleId	Replicate
H3_RE_NC_7	h3_re_nc_7	1
H3_RT-PCR_NC_6	h3_rt_pcr_nc_6	1
H3_RT-PCR_NC_8	h3_rt_pcr_nc_8	1
H3_SC1_seq1	h3_sc1	1
H3_SC1_seq2	h3_sc1	2
H3_SC2_seq1	h3_sc2	1
H3_SC2_seq2	h3_sc2	2
H3_SC3_seq1	h3_sc3	1
H3_SC3_seq2	h3_sc3	2
H3_SC4_seq1	h3_sc4	1
H3_SC4_seq2	h3_sc4	2
H3_SC5_seq1	h3_sc5	1
H3_SC5_seq2	h3_sc5	2
H3_SC_NC_10	h3_sc_nc_10	1
H3_stock1_seq1	h3_stock1	1
H3_stock1_seq2	h3_stock1	2
H3_stock2_seq1	h3_stock2	1
H3_stock2_seq2	h3_stock2	2
H3_stock3_seq1	h3_stock3	1
H3_stock3_seq2	h3_stock3	2
H3_stock4_seq1	h3_stock4	1
H3_stock4_seq2	h3_stock4	2
H3_stock5_seq1	h3_stock5	1
H3_stock5_seq2	h3_stock5	2
H3_stock6_seq1	h3_stock6	1
H3_stock6_seq2	h3_stock6	2
H3_stock_NC_11	h3_stock_nc_11	1
H3_stock_NC_12	h3_stock_nc_12	1
H3_stock_NC_redo12	h3_stock_nc_redo12	1
